iter	Passed	Remaining
149	270	1531
150	270	1523
151	271	1516
152	272	1508
153	273	1501
154	273	1493
155	274	1486
156	275	1478
157	276	1471
158	276	1464
159	277	1457
160	278	1449
161	278	1442
162	279	1435
163	280	1429
164	281	1422
165	281	1416
166	282	1409
167	283	1403
168	284	1396
169	284	1390
170	285	1384
171	286	1378
172	287	1372
173	287	1367
174	288	1361
175	289	1355
176	290	1349
177	290	1343
178	291	1337
179	292	1332
180	293	1327
181	294	1321
182	294	1316
183	295	1310
184	296	1305
185	297	1300
186	297	1295
187	298	1290
188	299	1286
189	300	1282
190	301	1277
191	302	1272
192	302	1266
193	303	1261
194	304	1256
195	305	1251
196	305	1246
197	306	1240
198	307	1236
199	307	1231
200	308	1226
201	309	1221
202	309	1217
203	310	1212
204	311	1207
205	311	1202
206	312	1197
207	313	1193
208	313	1188
209	314	1184
210	315	1180
211	316	1176
212	317	1172
213	318	1168
214	318	1164
215	319	1160
216	320	1155
217	321	1151
218	321	1147
219	322	1143
220	323	1140
221	324	1136
222	325	1133
223	326	1129
224	326	1125
225	327	1122
226	328	1118
227	329	1114
228	329	1110
229	330	1106
230	331	1102
231	331	1098
232	332	1095
233	333	1091
234	334	1087
235	334	1084
236	335	1080
237	336	1076
238	337	1073
239	337	1069
240	338	1066
241	339	1062
242	340	1059
243	340	1056
244	341	1053
245	342	1050
246	343	1047
247	344	1043
248	344	1040
249	345	1037
250	346	1033
251	347	1030
252	348	1027
253	348	1024
254	349	1021
255	350	1018
256	351	1015
257	352	1012
258	352	1009
259	353	1006
260	354	1003
261	355	1000
262	355	997
263	356	994
264	357	992
265	358	989
266	359	986
267	359	982
268	360	979
269	361	976
270	362	973
271	362	970
272	363	967
273	364	964
274	364	962
275	365	959
276	366	956
277	367	953
278	368	951
279	368	948
280	369	945
281	370	943
282	371	940
283	371	937
284	372	934
285	373	932
286	374	930
287	375	927
288	376	925
289	377	923
290	377	920
291	378	918
292	379	916
293	380	913
294	381	911
295	382	909
296	383	907
297	384	904
298	384	902
299	385	899
300	386	897
301	387	894
302	387	892
303	388	889
304	389	887
305	390	884
306	390	882
307	391	879
308	392	877
309	392	874
310	393	872
311	394	869
312	395	867
313	395	865
314	396	863
315	397	860
316	398	858
317	399	856
318	399	853
319	400	851
320	401	848
321	402	846
322	402	844
323	403	841
324	404	839
325	404	837
326	405	835
327	406	832
328	407	830
329	407	828
330	408	826
331	409	823
332	410	821
333	411	820
334	412	818
335	412	815
336	413	813
337	414	811
338	415	809
339	416	807
340	416	805
341	417	803
342	418	801
343	419	799
344	419	797
345	420	795
346	421	792
347	422	790
348	422	788
349	423	786
350	424	784
351	424	782
352	426	780
353	426	779
354	427	777
355	428	775
356	429	773
357	430	771
358	430	769
359	431	767
360	432	765
361	433	763
362	433	761
363	434	759
364	435	757
365	436	755
366	436	753
367	437	751
368	438	750
369	439	748
370	440	746
371	441	744
372	441	742
373	442	741
374	443	739
375	444	737
376	445	735
377	445	733
378	446	731
379	447	729
380	448	728
381	448	726
382	449	724
383	450	722
384	451	720
385	451	718
386	452	717
387	453	715
388	454	713
389	455	712
390	456	710
391	457	708
392	457	707
393	458	705
394	459	703
395	460	701
396	460	699
397	461	697
398	462	696
399	462	694
400	463	692
401	464	690
402	465	689
403	466	687
404	466	685
405	467	684
406	468	682
407	469	680
408	469	678
409	470	677
410	471	675
411	472	673
412	472	672
413	473	670
414	474	668
415	474	666
416	475	664
417	476	663
418	476	661
419	477	659
420	478	657
421	478	656
422	479	654
423	480	652
424	481	651
425	482	649
426	482	648
427	483	646
428	484	644
429	485	643
430	486	641
431	486	640
432	487	638
433	488	636
434	489	635
435	489	633
436	490	632
437	491	630
438	492	628
439	492	627
440	493	625
441	494	624
442	495	622
443	495	621
444	496	619
445	497	617
446	498	616
447	499	614
448	499	613
449	500	611
450	501	610
451	502	608
452	502	607
453	503	605
454	504	604
455	505	602
456	505	601
457	506	599
458	507	598
459	508	596
460	509	595
461	510	593
462	511	592
463	511	591
464	512	590
465	513	588
466	514	587
467	515	585
468	516	584
469	516	582
470	517	581
471	518	579
472	518	578
473	519	576
474	520	575
475	520	573
476	521	572
477	522	570
478	523	569
479	524	567
480	524	566
481	525	564
482	526	563
483	527	561
484	527	560
485	528	558
486	529	557
487	529	556
488	530	554
489	531	553
490	532	551
491	533	550
492	533	549
493	534	547
494	535	546
495	535	544
496	536	543
497	537	541
498	538	540
499	538	538
500	539	537
501	540	536
502	541	534
503	541	533
504	542	532
505	543	530
506	544	529
507	545	528
508	546	526
509	547	525
510	547	524
511	548	522
512	549	521
513	550	520
514	550	518
515	551	517
516	552	516
517	553	514
518	553	513
519	554	511
520	555	510
521	555	509
522	556	507
523	557	506
524	558	504
525	558	503
526	559	502
527	560	500
528	561	499
529	561	498
530	562	496
531	563	495
532	564	494
533	564	492
534	565	491
535	566	490
536	567	489
537	568	487
538	568	486
539	569	485
540	570	483
541	571	482
542	571	481
543	572	479
544	573	478
545	574	477
546	575	476
547	575	474
548	576	473
549	577	472
550	578	471
551	578	469
552	579	468
553	580	467
554	581	465
555	581	464
556	582	463
557	583	461
558	583	460
559	584	459
560	585	458
561	586	456
562	586	455
563	587	454
564	588	453
565	589	451
566	590	450
567	590	449
568	591	448
569	592	446
570	593	445
571	593	444
572	594	443
573	595	441
574	596	440
575	596	439
576	597	438
577	598	436
578	599	435
579	599	434
580	600	433
581	601	431
582	602	430
583	602	429
584	603	428
585	604	426
586	605	425
587	605	424
588	606	423
589	607	421
590	607	420
591	608	419
592	609	418
593	610	416
594	610	415
595	611	414
596	612	413
597	612	411
598	613	410
599	614	409
600	614	408
601	615	406
602	616	405
603	617	404
604	617	403
605	618	402
606	619	400
607	619	399
608	620	398
609	621	397
610	621	395
611	622	394
612	623	393
613	624	392
614	625	391
615	625	390
616	626	388
617	627	387
618	627	386
619	628	385
620	629	384
621	630	382
622	630	381
623	631	380
624	632	379
625	633	378
626	634	377
627	634	376
628	635	375
629	636	373
630	637	372
631	638	371
632	639	370
633	640	369
634	640	368
635	641	367
636	642	366
637	643	364
638	643	363
639	644	362
640	645	361
641	646	360
642	646	359
643	647	357
644	648	356
645	649	355
646	650	354
647	650	353
648	651	352
649	652	351
650	653	350
651	653	349
652	654	347
653	655	346
654	656	345
655	656	344
656	657	343
657	658	342
658	659	341
659	659	339
660	660	338
661	661	337
662	662	336
663	663	335
664	664	334
665	665	333
666	665	332
667	666	331
668	667	330
669	668	329
670	669	328
671	670	327
672	670	326
673	671	324
674	672	323
675	673	322
676	674	321
677	674	320
678	675	319
679	676	318
680	677	317
681	678	316
682	679	315
683	680	314
684	680	313
685	681	312
686	682	311
687	683	309
688	684	308
689	685	307
690	685	306
691	686	305
692	687	304
693	688	303
694	689	302
695	690	301
696	690	300
697	691	299
698	692	298
699	693	297
700	694	296
701	695	295
702	695	293
703	696	292
704	697	291
705	698	290
706	699	289
707	700	288
708	700	287
709	701	286
710	702	285
711	703	284
712	704	283
713	705	282
714	706	281
715	707	280
716	707	279
717	708	278
718	709	277
719	710	276
720	710	275
721	711	274
722	712	272
723	713	271
724	713	270
725	714	269
726	715	268
727	716	267
728	717	266
729	718	265
730	719	264
731	720	263
732	721	262
733	722	261
734	723	260
735	724	259
736	724	258
737	725	257
738	726	256
739	727	255
740	727	254
741	728	253
742	729	252
743	730	251
744	730	250
745	731	249
746	732	247
747	733	246
748	733	245
749	734	244
750	735	243
751	736	242
752	737	242
753	738	241
754	739	240
755	740	239
756	741	238
757	742	237
758	743	235
759	743	234
760	744	233
761	745	232
762	746	231
763	746	230
764	747	229
765	748	228
766	749	227
767	750	226
768	751	225
769	751	224
770	752	223
771	753	222
772	754	221
773	754	220
774	755	219
775	756	218
776	757	217
777	757	216
778	758	215
779	759	214
780	759	213
781	760	212
782	761	211
783	762	210
784	762	208
785	763	207
786	764	206
787	765	205
788	766	204
789	766	203
790	767	202
791	768	201
792	768	200
793	769	199
794	770	198
795	771	197
796	771	196
797	772	195
798	773	194
799	774	193
800	774	192
801	775	191
802	776	190
803	777	189
804	778	188
805	778	187
806	779	186
807	780	185
808	781	184
809	782	183
810	782	182
811	783	181
812	784	180
813	785	179
814	785	178
815	786	177
816	787	176
817	788	175
818	788	174
819	789	173
820	790	172
821	791	171
822	792	170
823	792	169
824	793	168
825	794	167
826	795	166
827	796	165
828	796	164
829	797	163
830	798	162
831	799	161
832	799	160
833	800	159
834	801	158
835	802	157
836	802	156
837	803	155
838	804	154
839	805	153
840	805	152
841	806	151
842	807	150
843	808	149
844	808	148
845	809	147
846	810	146
847	811	145
848	812	144
849	813	143
850	814	142
851	814	141
852	815	140
853	816	139
854	816	138
855	817	137
856	818	136
857	819	135
858	819	134
859	820	133
860	821	132
861	822	131
862	822	130
863	823	129
864	824	128
865	825	127
866	825	126
867	826	125
868	827	124
869	828	123
870	829	122
871	830	121
872	830	120
873	831	119
874	832	118
875	833	117
876	833	116
877	834	115
878	835	114
879	836	114
880	836	113
881	837	112
882	838	111
883	839	110
884	840	109
885	840	108
886	841	107
887	842	106
888	843	105
889	844	104
890	845	103
891	845	102
892	846	101
893	847	100
894	848	99
895	849	98
896	850	97
897	850	96
898	851	95
899	852	94
900	853	93
901	854	92
902	855	91
903	855	90
904	856	89
905	857	88
906	857	87
907	858	86
908	859	86
909	859	85
910	860	84
911	861	83
912	861	82
913	862	81
914	863	80
915	864	79
916	865	78
917	865	77
918	866	76
919	867	75
920	868	74
921	869	73
922	869	72
923	870	71
924	871	70
925	872	69
926	872	68
927	873	67
928	874	66
929	875	65
930	875	64
931	876	63
932	877	63
933	878	62
934	879	61
935	879	60
936	880	59
937	881	58
938	881	57
939	882	56
940	883	55
941	884	54
942	885	53
943	885	52
944	886	51
945	887	50
946	888	49
947	889	48
948	889	47
949	890	46
950	891	45
951	892	44
952	892	44
953	893	43
954	894	42
955	895	41
956	895	40
957	896	39
958	897	38
959	898	37
960	899	36
961	899	35
962	900	34
963	901	33
964	902	32
965	902	31
966	903	30
967	904	29
968	904	28
969	905	28
970	906	27
971	907	26
972	908	25
973	909	24
974	910	23
975	911	22
976	911	21
977	912	20
978	913	19
979	914	18
980	915	17
981	916	16
982	917	15
983	918	14
984	919	14
985	920	13
986	921	12
987	921	11
988	922	10
989	923	9
990	924	8
991	925	7
992	926	6
993	927	5
994	928	4
995	929	3
996	930	2
997	931	1
998	932	0
999	933	0
